han,num
一会一节,5
一会儿,3200
一会儿双行,2
一会儿回,2
一会儿天,3
一会儿头,2
一会儿开,8
一会儿张,2
一会儿打,4
一会儿摊,2
一会儿步,2
一会儿站,13
一会儿记,2
一会儿门,4
一会家,3
一会开,2
一会方,2
一传,72
一传十,3
一似,3
一位,9387
一位数,3
一体,1526
一体化,1178
一体同心,3
一体式,6
一体机,29
一佛出世,5
一例,226
一侧,729
一便士,2
一俟,3
一倍,986
一倡一和,3
一倡三叹,3
一倡百和,3
一偏,3
一偏之见,3
一偏之论,3
一停,3
一元,168
一元二次方程,3
一元函数,3
一元化,25
一元复始,5
一元大武,3
一元方程,3
一元论,35
一元说,3
一元酸,2
一元醇,6
一兆元,3
一克,14
一党制,29
一党独大,3
一兜,10
一八,1096
一八九,3
一八九九,3
一八二六年,2
一八八七年,3
一八八五年,2
一八四八年,2
一公顷,6
一六,11
一六六,2
一六四八年,2
一六四四,2
一六角,2
一共,726
一兵一卒,3
一具,468
一内一外,3
一册,54
一再,1140
一再嘱咐,3
一再声明,3
一再强调,3
一再表示,3
一再说明,3
一写出,3
一写到,3
一决胜负,3
一决雌雄,28
一准,32
一准儿,2
一凉,3
一几,10
一出,964
一出场,3
一出头,3
一出戏,3
一击必杀,3
一刀,1547
一刀两断,60
一刀两段,14
一刀切,67
一刀斩,3
一分,1236
一分一毫,11
一分一秒,2
一分为二,108
一分之差,3
一分收获,3
一分耕耘,3
一分货,3
一分钟,496
一分钱,3
一分钱一,3
一分高下,4
一切,16361
一切万物,3
一切从严,3
一切众生,17
一切办法,3
一切就简,3
一切权利,3
一切正常,3
一切照旧,3
一切都在,3
一切都是,3
一切顺利,3
一划,3
一列,192
一则,851
一则以喜,3
一则以忧,3
一则以惧,3
一删而空,3
一别,3
一别多年,3
一券,3
一刹,3
一刹那,212
